Act Title,Act No,Act Year,Act Link,full_text,is_repealed
"THE CHITTAGONG HILL-TRACTS LAWS REGULATION, 1946",I,1946,http://bdlaws.minlaw.gov.bd/act-1338.html,http://bdlaws.minlaw.gov.bd/act-print-1338.html,False
"The Oilseeds Committee Act, 1946",IX,1946,http://bdlaws.minlaw.gov.bd/act-213.html,http://bdlaws.minlaw.gov.bd/act-print-213.html,False
"The Hindu Married Women's Right to Separate Residence and Maintenance Act, 1946",XIX,1946,http://bdlaws.minlaw.gov.bd/act-214.html,http://bdlaws.minlaw.gov.bd/act-print-214.html,False
"The Hindu Marriage Disabilities Removal Act, 1946",XXVIII,1946,http://bdlaws.minlaw.gov.bd/act-215.html,http://bdlaws.minlaw.gov.bd/act-print-215.html,False
"The Foreigners Act, 1946",XXXI,1946,http://bdlaws.minlaw.gov.bd/act-216.html,http://bdlaws.minlaw.gov.bd/act-print-216.html,False
"The Prevention of Corruption Act, 1947",II,1947,http://bdlaws.minlaw.gov.bd/act-217.html,http://bdlaws.minlaw.gov.bd/act-print-217.html,False
"The Foreign Exchange Regulation Act, 1947",VII,1947,http://bdlaws.minlaw.gov.bd/act-218.html,http://bdlaws.minlaw.gov.bd/act-print-218.html,False
"The Armed Forces (Emergency Duties) Act, 1947",XV,1947,http://bdlaws.minlaw.gov.bd/act-219.html,http://bdlaws.minlaw.gov.bd/act-print-219.html,False
"The Business Profits Tax Act, 1947",XXI,1947,http://bdlaws.minlaw.gov.bd/act-220.html,http://bdlaws.minlaw.gov.bd/act-print-220.html,False
"The Taxation on Income (Investigation Commission) Act, 1947",XXX,1947,http://bdlaws.minlaw.gov.bd/act-221.html,http://bdlaws.minlaw.gov.bd/act-print-221.html,False
"The Riot And Civil Commotion Risks Insurance Ordinance, 1947",III,1947,http://bdlaws.minlaw.gov.bd/act-222.html,http://bdlaws.minlaw.gov.bd/act-print-222.html,False
"The Armed Forces (Recruitment and Conditions of Service) Act, 1948",XII,1948,http://bdlaws.minlaw.gov.bd/act-223.html,http://bdlaws.minlaw.gov.bd/act-print-223.html,False
"The United Nations (Security Council) Act, 1948",XIV,1948,http://bdlaws.minlaw.gov.bd/act-224.html,http://bdlaws.minlaw.gov.bd/act-print-224.html,False
"The Criminal Law (Amendment) Act, 1948 (East Bengal Act)",XIV,1948,http://bdlaws.minlaw.gov.bd/act-225.html,http://bdlaws.minlaw.gov.bd/act-print-225.html,False
"The Protection of Ports (Special Measures) Act, 1948",XVII,1948,http://bdlaws.minlaw.gov.bd/act-226.html,http://bdlaws.minlaw.gov.bd/act-print-226.html,False
"The United Nations (Privileges and Immunities) Act, 1948",XX,1948,http://bdlaws.minlaw.gov.bd/act-227.html,http://bdlaws.minlaw.gov.bd/act-print-227.html,False
"The Diplomatic and Consular Officers (Oaths and Fees) Act, 1948",XXI,1948,http://bdlaws.minlaw.gov.bd/act-228.html,http://bdlaws.minlaw.gov.bd/act-print-228.html,False
"The Cantonments (Requisitioning of Immoveable Property) Ordinance, 1948",IV,1948,http://bdlaws.minlaw.gov.bd/act-229.html,http://bdlaws.minlaw.gov.bd/act-print-229.html,False
"The Essential Personnel (Registration) Ordinance, 1948",X,1948,http://bdlaws.minlaw.gov.bd/act-230.html,http://bdlaws.minlaw.gov.bd/act-print-230.html,False
"The Development of Industries (Government Control) Act, 1949",XIII,1949,http://bdlaws.minlaw.gov.bd/act-231.html,http://bdlaws.minlaw.gov.bd/act-print-231.html,False
"The Non-Agricultural Tenancy Act, 1949 (East Bengal Act)",XXIII,1949,http://bdlaws.minlaw.gov.bd/act-232.html,http://bdlaws.minlaw.gov.bd/act-print-232.html,False
"THE PARTIALLY EXCLUDED AREAS LAWS REGULATION, 1950",III,1950,http://bdlaws.minlaw.gov.bd/act-1343.html,http://bdlaws.minlaw.gov.bd/act-print-1343.html,False
"THE EXCLUDED AND PARTIALLY EXCLUDED AREAS LAWS REGULATION, 1950",IV,1950,http://bdlaws.minlaw.gov.bd/act-1344.html,http://bdlaws.minlaw.gov.bd/act-print-1344.html,False
"The Protection and Conservation of Fish Act, 1950 (East Bengal Act)",XVIII,1950,http://bdlaws.minlaw.gov.bd/act-233.html,http://bdlaws.minlaw.gov.bd/act-print-233.html,False
"The Acquisition of Waste Land Act, 1950 (East Bengal Act)",XIX,1950,http://bdlaws.minlaw.gov.bd/act-234.html,http://bdlaws.minlaw.gov.bd/act-print-234.html,False
"The Navy (Extension of Service) Act, 1950",XXIV,1950,http://bdlaws.minlaw.gov.bd/act-235.html,http://bdlaws.minlaw.gov.bd/act-print-235.html,False
"The Imports and Exports (Control) Act, 1950",XXXIX,1950,http://bdlaws.minlaw.gov.bd/act-236.html,http://bdlaws.minlaw.gov.bd/act-print-236.html,False
"The Army and Air Force Reserves Act, 1950",XLVII,1950,http://bdlaws.minlaw.gov.bd/act-237.html,http://bdlaws.minlaw.gov.bd/act-print-237.html,False
"The Territorial Force Act, 1950",L,1950,http://bdlaws.minlaw.gov.bd/act-238.html,http://bdlaws.minlaw.gov.bd/act-print-238.html,False
"The Protective Duties Act, 1950",LXI,1950,http://bdlaws.minlaw.gov.bd/act-239.html,http://bdlaws.minlaw.gov.bd/act-print-239.html,False
"The National Guard Act, 1950",LXIII,1950,http://bdlaws.minlaw.gov.bd/act-240.html,http://bdlaws.minlaw.gov.bd/act-print-240.html,False
"THE CHITTAGONG HILL-TRACTS SARAIS REGULATION, 1951",I,1951,http://bdlaws.minlaw.gov.bd/act-1345.html,http://bdlaws.minlaw.gov.bd/act-print-1345.html,False
